zip_code,city,state,address_example,overall_grade,violent_crime_grade,property_crime_grade,violent_crimes_per_1000,property_crimes_per_1000,total_crimes_per_1000,cost_of_crime_per_household_usd,confidence,retrievedAtUtc
37203,Nashville,TN,2303 Mission St,B,D,C,9.6,30,39.6,452,0.84,2025-10-26T17:00:57.476ZZ
75201,Dallas,TX,2819 Lexington Ave,C,A,A,4,11,15,372,0.84,2025-10-26T17:00:57.476ZZ
10001,New York,NY,6129 Broadway,D,B,D,34.1,123.5,157.6,1159,0.88,2025-10-26T17:00:57.476ZZ
37203,Nashville,TN,9216 Oak St,D,D,F,9.4,37.1,46.5,450,0.89,2025-10-26T17:00:57.476ZZ
98101,Seattle,WA,1250 Elm St,C,C,D,10.4,36.7,47.1,592,0.92,2025-10-26T17:00:57.476ZZ
60629,Chicago,IL,1473 Washington Ave,C,D,D,6.3,20.2,26.5,380,0.9,2025-10-26T17:00:57.476ZZ
37203,Nashville,TN,6126 Peachtree St NE,D,C,D,30.6,121.7,152.3,1450,0.88,2025-10-26T17:00:57.476ZZ
37203,Nashville,TN,9738 Lexington Ave,D,D,D,12.3,38.6,50.9,616,0.83,2025-10-26T17:00:57.476ZZ
60629,Chicago,IL,2293 Pine St,C,A,D,6.7,23.6,30.3,424,0.86,2025-10-26T17:00:57.476ZZ
72201,Little Rock,AR,275 Collins Ave,C,C,C,14,38.2,52.2,681,0.88,2025-10-26T17:00:57.476ZZ
98101,Seattle,WA,5137 Main St,D,B,C,18.8,49.9,68.7,842,0.81,2025-10-26T17:00:57.476ZZ
64106,Kansas City,MO,6576 Market St,F,C,D,14.5,54.1,68.6,713,0.94,2025-10-26T17:00:57.476ZZ
02115,Boston,MA,9150 Market St,D,D,C,25.4,82.7,108.1,992,0.89,2025-10-26T17:00:57.476ZZ
60601,Chicago,IL,9305 1st Ave,C,C,D,12.4,32.8,45.2,643,0.86,2025-10-26T17:00:57.476ZZ
96813,Honolulu,HI,2522 1st Ave,F,B,A,38.1,150.6,188.7,1483,0.86,2025-10-26T17:00:57.476ZZ
94102,San Francisco,CA,1841 Maple Ave,D,D,D,33.9,102,135.9,725,0.92,2025-10-26T17:00:57.476ZZ
30303,Atlanta,GA,9145 Lexington Ave,C,C,B,20,66.5,86.5,906,0.95,2025-10-26T17:00:57.476ZZ
30303,Atlanta,GA,3165 Canal St,F,D,D,26.6,90,116.6,1079,0.94,2025-10-26T17:00:57.476ZZ
80202,Denver,CO,6985 Oak St,C,D,D,4.9,13.2,18.1,381,0.94,2025-10-26T17:00:57.476ZZ
94103,San Francisco,CA,4686 Canal St,C,C,A,18.2,54.3,72.5,553,0.93,2025-10-26T17:00:57.476ZZ
96813,Honolulu,HI,4991 Lexington Ave,C,A,B,13,42,55,683,0.88,2025-10-26T17:00:57.476ZZ
11201,Brooklyn,NY,3602 Peachtree St NE,D,D,F,14.6,45.7,60.3,774,0.94,2025-10-26T17:00:57.476ZZ
11201,Brooklyn,NY,2853 Washington Ave,B,F,B,4.1,14.6,18.7,449,0.83,2025-10-26T17:00:57.476ZZ
94102,San Francisco,CA,2019 Lexington Ave,D,A,F,31.4,118,149.4,1205,0.87,2025-10-26T17:00:57.476ZZ
73301,Austin,TX,3808 1st Ave,C,C,C,5,18.6,23.6,426,0.81,2025-10-26T17:00:57.476ZZ
33101,Miami,FL,1801 Washington Ave,D,C,D,22.3,75.3,97.6,765,0.81,2025-10-26T17:00:57.476ZZ
10003,New York,NY,8397 Pine St,A,D,A,4.8,12,16.8,395,0.88,2025-10-26T17:00:57.476ZZ
64106,Kansas City,MO,836 1st Ave,B,A,C,5.6,14.7,20.3,375,0.83,2025-10-26T17:00:57.476ZZ
75201,Dallas,TX,6712 Broadway,C,C,B,16.5,51.5,68,786,0.92,2025-10-26T17:00:57.476ZZ
60629,Chicago,IL,4312 Collins Ave,C,A,B,4,10.9,14.9,353,0.91,2025-10-26T17:00:57.476ZZ
20001,Washington,DC,2527 Mission St,F,D,C,49.2,155.8,205,1185,0.91,2025-10-26T17:00:57.476ZZ
77002,Houston,TX,908 Cedar St,A,D,F,4.2,16.6,20.8,427,0.93,2025-10-26T17:00:57.476ZZ
37203,Nashville,TN,1315 Market St,A,C,D,1.3,4,5.3,326,0.88,2025-10-26T17:00:57.476ZZ
90011,Los Angeles,CA,3211 Mission St,B,A,D,3.3,10.4,13.7,395,0.83,2025-10-26T17:00:57.476ZZ
30303,Atlanta,GA,7930 Broadway,B,B,B,6.6,24.3,30.9,539,0.83,2025-10-26T17:00:57.476ZZ
19104,Philadelphia,PA,1664 Mission St,C,C,F,11.3,38.9,50.2,650,0.94,2025-10-26T17:00:57.476ZZ
20001,Washington,DC,2620 Collins Ave,C,D,B,8.8,28.9,37.7,503,0.87,2025-10-26T17:00:57.476ZZ
37203,Nashville,TN,3669 Pine St,D,B,D,29.8,78.7,108.5,1029,0.87,2025-10-26T17:00:57.476ZZ
10002,New York,NY,6876 Washington Ave,F,B,D,33.5,110.8,144.3,745,0.94,2025-10-26T17:00:57.476ZZ
77002,Houston,TX,3284 Main St,D,B,D,16.2,64.1,80.3,700,0.86,2025-10-26T17:00:57.476ZZ
60601,Chicago,IL,9373 Main St,B,C,C,2.2,8.4,10.6,364,0.87,2025-10-26T17:00:57.476ZZ
73102,Oklahoma City,OK,6205 Canal St,D,B,F,18.8,49.9,68.7,564,0.88,2025-10-26T17:00:57.476ZZ
85001,Phoenix,AZ,3127 Mission St,D,C,D,20.9,64.5,85.4,969,0.81,2025-10-26T17:00:57.476ZZ
19104,Philadelphia,PA,7094 Lexington Ave,B,D,C,6,18.9,24.9,378,0.92,2025-10-26T17:00:57.476ZZ
33101,Miami,FL,5834 1st Ave,D,A,C,18,59.7,77.7,564,0.91,2025-10-26T17:00:57.476ZZ
10002,New York,NY,6190 Elm St,B,D,B,9.9,28,37.9,417,0.88,2025-10-26T17:00:57.476ZZ
80202,Denver,CO,1591 Canal St,B,C,A,2.4,7.7,10.1,330,0.88,2025-10-26T17:00:57.477ZZ
20001,Washington,DC,9855 Washington Ave,C,C,B,15.8,61.3,77.1,649,0.82,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,2527 Broadway,F,C,C,36.1,96.2,132.3,1165,0.88,2025-10-26T17:00:57.477ZZ
98101,Seattle,WA,9254 Market St,C,F,C,17.3,48.3,65.6,552,0.88,2025-10-26T17:00:57.477ZZ
73301,Austin,TX,2867 Main St,D,A,B,25.2,86,111.2,1084,0.94,2025-10-26T17:00:57.477ZZ
90001,Los Angeles,CA,467 Collins Ave,D,C,D,12.5,31.9,44.4,534,0.81,2025-10-26T17:00:57.477ZZ
98101,Seattle,WA,3442 Lexington Ave,B,C,F,2.9,8.8,11.7,359,0.9,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,7952 Washington Ave,F,F,F,22.1,75.7,97.8,716,0.86,2025-10-26T17:00:57.477ZZ
10003,New York,NY,2688 Fulton St,D,C,B,25.6,99.6,125.2,1060,0.83,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,1083 Canal St,C,C,A,10.7,37.8,48.5,627,0.82,2025-10-26T17:00:57.477ZZ
73102,Oklahoma City,OK,2760 Collins Ave,C,C,D,19,73,92,887,0.89,2025-10-26T17:00:57.477ZZ
94102,San Francisco,CA,8176 Cedar St,A,D,A,3,9.9,12.9,382,0.83,2025-10-26T17:00:57.477ZZ
90011,Los Angeles,CA,4454 Maple Ave,F,D,D,38.7,140.4,179.1,954,0.93,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,2843 Broadway,B,B,A,4.9,17.8,22.7,369,0.87,2025-10-26T17:00:57.477ZZ
94103,San Francisco,CA,5245 Cedar St,C,B,B,5.2,13.2,18.4,405,0.91,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,4507 Fulton St,B,C,D,9.5,27.9,37.4,571,0.93,2025-10-26T17:00:57.477ZZ
02115,Boston,MA,3610 Mission St,B,B,C,2.5,9.2,11.7,335,0.83,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,564 Washington Ave,C,D,B,12.6,34.9,47.5,483,0.9,2025-10-26T17:00:57.477ZZ
10003,New York,NY,3420 Elm St,B,D,C,5.3,15.3,20.6,372,0.94,2025-10-26T17:00:57.477ZZ
10003,New York,NY,6324 Elm St,C,C,F,7.8,28.2,36,429,0.87,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,4753 Collins Ave,A,A,D,2.2,5.6,7.8,337,0.95,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,7003 Peachtree St NE,C,B,D,6.6,19.2,25.8,434,0.81,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,1837 Lexington Ave,B,D,C,8,25.2,33.2,502,0.93,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,1745 Mission St,F,B,D,44.8,121,165.8,1183,0.89,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,342 Canal St,F,D,D,25.6,101.3,126.9,733,0.88,2025-10-26T17:00:57.477ZZ
48201,Detroit,MI,1190 Oak St,D,D,F,30.6,98.4,129,1144,0.88,2025-10-26T17:00:57.477ZZ
20001,Washington,DC,7682 Pine St,A,B,D,1.5,5.3,6.8,325,0.83,2025-10-26T17:00:57.477ZZ
85001,Phoenix,AZ,139 Oak St,A,D,C,1.3,4.3,5.6,318,0.82,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,9691 Mission St,F,B,D,29.2,98.3,127.5,905,0.86,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,5935 Elm St,C,D,B,18.4,46.1,64.5,778,0.86,2025-10-26T17:00:57.477ZZ
10002,New York,NY,2713 Elm St,D,C,C,11.1,39.8,50.9,588,0.83,2025-10-26T17:00:57.477ZZ
98101,Seattle,WA,8987 Broadway,A,A,D,1.9,5.1,7,331,0.89,2025-10-26T17:00:57.477ZZ
20001,Washington,DC,5449 Canal St,A,C,C,3.3,9.8,13.1,387,0.93,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,2601 Fulton St,B,B,A,8.1,32.3,40.4,613,0.93,2025-10-26T17:00:57.477ZZ
73102,Oklahoma City,OK,5294 Washington Ave,D,C,C,14.9,47.7,62.6,551,0.82,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,9667 Peachtree St NE,C,C,D,16.9,64.4,81.3,701,0.86,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,6574 Canal St,B,B,C,8.8,26.8,35.6,581,0.82,2025-10-26T17:00:57.477ZZ
10002,New York,NY,3229 Mission St,C,D,D,17,49.4,66.4,793,0.82,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,1362 Elm St,D,D,C,15.6,40,55.6,587,0.88,2025-10-26T17:00:57.477ZZ
11211,Brooklyn,NY,4360 Washington Ave,F,D,C,20.4,60.4,80.8,653,0.89,2025-10-26T17:00:57.477ZZ
73102,Oklahoma City,OK,1888 Maple Ave,B,C,B,6.3,22.8,29.1,530,0.87,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,7412 Pine St,D,A,A,14,39.1,53.1,484,0.89,2025-10-26T17:00:57.477ZZ
94103,San Francisco,CA,7874 Market St,F,C,A,25.5,85.9,111.4,1052,0.82,2025-10-26T17:00:57.477ZZ
10001,New York,NY,2915 Oak St,C,D,C,17,66.2,83.2,817,0.86,2025-10-26T17:00:57.477ZZ
60629,Chicago,IL,7048 Pine St,A,C,B,1,3.6,4.6,315,0.94,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,651 Canal St,F,A,D,21.3,61,82.3,844,0.87,2025-10-26T17:00:57.477ZZ
85001,Phoenix,AZ,5911 Washington Ave,C,C,C,4.5,15.6,20.1,387,0.89,2025-10-26T17:00:57.477ZZ
90011,Los Angeles,CA,8204 Fulton St,D,B,F,27.9,88.6,116.5,1066,0.81,2025-10-26T17:00:57.477ZZ
10003,New York,NY,5118 Fulton St,C,A,B,4.2,14.3,18.5,408,0.87,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,569 Collins Ave,D,B,B,16.8,55.5,72.3,748,0.95,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,6098 Pine St,D,C,A,10.4,41.6,52,462,0.87,2025-10-26T17:00:57.477ZZ
10001,New York,NY,7307 1st Ave,C,B,F,13,39.2,52.2,544,0.83,2025-10-26T17:00:57.477ZZ
94102,San Francisco,CA,2437 Canal St,B,D,D,9.5,27.8,37.3,456,0.88,2025-10-26T17:00:57.477ZZ
73301,Austin,TX,4645 Canal St,D,B,D,21.3,71.4,92.7,738,0.92,2025-10-26T17:00:57.477ZZ
90001,Los Angeles,CA,2707 Lexington Ave,A,D,C,2.2,6.6,8.8,358,0.89,2025-10-26T17:00:57.477ZZ
48201,Detroit,MI,3812 Canal St,C,C,F,11.1,32.8,43.9,576,0.82,2025-10-26T17:00:57.477ZZ
73102,Oklahoma City,OK,1976 Peachtree St NE,B,C,C,8.8,34.1,42.9,503,0.81,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,2568 Market St,D,C,D,31.7,106.1,137.8,909,0.94,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,2110 Oak St,D,C,C,9.9,31.8,41.7,605,0.86,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,3439 Maple Ave,D,A,C,21.3,66.2,87.5,612,0.81,2025-10-26T17:00:57.477ZZ
45202,Cincinnati,OH,3180 1st Ave,D,B,C,20.3,72.7,93,890,0.85,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,4130 Peachtree St NE,D,B,C,17.1,56,73.1,685,0.86,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,3544 Elm St,D,D,D,20.6,62,82.6,860,0.92,2025-10-26T17:00:57.477ZZ
20001,Washington,DC,7938 Collins Ave,C,B,C,16.5,47.3,63.8,546,0.88,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,5526 Maple Ave,D,D,A,27.9,89.6,117.5,1197,0.95,2025-10-26T17:00:57.477ZZ
85001,Phoenix,AZ,2370 Broadway,B,D,C,5.8,19.4,25.2,425,0.88,2025-10-26T17:00:57.477ZZ
45202,Cincinnati,OH,441 Broadway,C,D,C,5.7,22,27.7,440,0.92,2025-10-26T17:00:57.477ZZ
10003,New York,NY,738 Fulton St,A,B,C,3.2,8.5,11.7,382,0.83,2025-10-26T17:00:57.477ZZ
90011,Los Angeles,CA,9047 Lexington Ave,F,F,C,38.1,103,141.1,761,0.93,2025-10-26T17:00:57.477ZZ
30303,Atlanta,GA,3199 Canal St,A,C,C,1.1,3.1,4.2,316,0.87,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,831 Maple Ave,D,D,A,25.2,84.3,109.5,1005,0.82,2025-10-26T17:00:57.477ZZ
72201,Little Rock,AR,2127 Pine St,A,D,C,2.3,7.7,10,367,0.91,2025-10-26T17:00:57.477ZZ
94102,San Francisco,CA,2008 Market St,A,B,A,4.4,15.4,19.8,390,0.92,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,6482 Broadway,B,F,C,4,15.6,19.6,376,0.83,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,3211 Broadway,F,C,D,34,100.4,134.4,1340,0.93,2025-10-26T17:00:57.477ZZ
94102,San Francisco,CA,8225 Peachtree St NE,D,C,C,11.8,42.8,54.6,657,0.86,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,7904 Washington Ave,C,C,B,6.8,26.3,33.1,400,0.92,2025-10-26T17:00:57.477ZZ
96813,Honolulu,HI,3611 Peachtree St NE,C,C,D,6.5,22,28.5,412,0.86,2025-10-26T17:00:57.477ZZ
60629,Chicago,IL,1138 1st Ave,D,F,C,17.3,48.2,65.5,758,0.86,2025-10-26T17:00:57.477ZZ
73301,Austin,TX,701 Elm St,D,D,D,19.9,50.2,70.1,573,0.9,2025-10-26T17:00:57.477ZZ
73301,Austin,TX,6716 Pine St,A,D,A,3,11.1,14.1,361,0.86,2025-10-26T17:00:57.477ZZ
48201,Detroit,MI,2591 Market St,C,B,B,17.7,49.5,67.2,631,0.81,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,4063 Fulton St,C,F,D,4.5,13.2,17.7,431,0.81,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,1177 Oak St,C,B,C,15.3,53.4,68.7,620,0.82,2025-10-26T17:00:57.477ZZ
11211,Brooklyn,NY,3981 Fulton St,D,D,C,13.8,53.6,67.4,632,0.8,2025-10-26T17:00:57.477ZZ
73301,Austin,TX,5345 Cedar St,D,A,C,7.5,19,26.5,481,0.9,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,8744 Elm St,B,C,C,9.2,32.3,41.5,628,0.94,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,382 Cedar St,D,D,C,8.7,31.4,40.1,607,0.84,2025-10-26T17:00:57.477ZZ
73301,Austin,TX,899 Peachtree St NE,C,C,B,4.7,15.7,20.4,460,0.91,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,9205 Canal St,C,D,D,10.4,38.2,48.6,518,0.83,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,3217 Elm St,C,B,B,18.4,70.3,88.7,700,0.92,2025-10-26T17:00:57.477ZZ
98101,Seattle,WA,5244 1st Ave,C,A,A,17.1,65.2,82.3,899,0.87,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,3981 Lexington Ave,F,B,C,31.3,82.8,114.1,1015,0.89,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,1504 1st Ave,D,F,B,22.8,61.5,84.3,851,0.91,2025-10-26T17:00:57.477ZZ
98101,Seattle,WA,6932 Collins Ave,A,C,D,4.5,17,21.5,392,0.91,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,9271 Pine St,F,C,A,11.8,39.1,50.9,667,0.92,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,5151 Pine St,B,C,A,2.5,9.9,12.4,356,0.83,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,3448 Main St,B,F,B,6.8,23.3,30.1,474,0.81,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,1583 Maple Ave,D,C,B,18.4,70.1,88.5,832,0.82,2025-10-26T17:00:57.477ZZ
96813,Honolulu,HI,4484 Collins Ave,F,F,B,47.1,143.7,190.8,1011,0.88,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,2537 Canal St,C,B,D,17.2,68.7,85.9,736,0.8,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,4046 Pine St,D,B,A,12.5,39.2,51.7,633,0.85,2025-10-26T17:00:57.477ZZ
90001,Los Angeles,CA,1999 Canal St,A,C,A,4.5,11.9,16.4,368,0.9,2025-10-26T17:00:57.477ZZ
11211,Brooklyn,NY,3596 Elm St,D,C,C,18.2,71.4,89.6,690,0.9,2025-10-26T17:00:57.477ZZ
85001,Phoenix,AZ,751 Cedar St,F,D,A,26.9,90.1,117,864,0.83,2025-10-26T17:00:57.477ZZ
45202,Cincinnati,OH,9387 Oak St,D,D,C,22.6,73,95.6,1019,0.87,2025-10-26T17:00:57.477ZZ
94103,San Francisco,CA,2880 Broadway,B,D,D,2.6,9.3,11.9,352,0.94,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,4256 Cedar St,C,F,D,6.2,16.7,22.9,401,0.85,2025-10-26T17:00:57.477ZZ
10001,New York,NY,2925 Washington Ave,B,C,B,8.2,29,37.2,520,0.88,2025-10-26T17:00:57.477ZZ
02115,Boston,MA,5712 Fulton St,A,A,F,1.2,4.4,5.6,317,0.84,2025-10-26T17:00:57.477ZZ
98101,Seattle,WA,2353 Broadway,B,B,F,2.2,6.7,8.9,342,0.87,2025-10-26T17:00:57.477ZZ
02115,Boston,MA,5511 Broadway,D,A,C,22.6,85.2,107.8,1100,0.81,2025-10-26T17:00:57.477ZZ
48201,Detroit,MI,830 Mission St,D,F,F,15.8,51.9,67.7,839,0.92,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,6869 Main St,A,C,F,4.1,13.5,17.6,356,0.85,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,7933 1st Ave,C,D,D,11.3,34.3,45.6,572,0.86,2025-10-26T17:00:57.477ZZ
45202,Cincinnati,OH,6114 Main St,B,D,D,7.9,22.6,30.5,435,0.91,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,3203 Pine St,C,A,D,16.9,51.6,68.5,846,0.94,2025-10-26T17:00:57.477ZZ
77002,Houston,TX,4123 1st Ave,B,C,D,9.7,36,45.7,645,0.9,2025-10-26T17:00:57.477ZZ
10002,New York,NY,3123 Fulton St,F,D,B,32,115.8,147.8,851,0.88,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,3504 Broadway,A,C,D,4.7,17.5,22.2,401,0.83,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,7030 Elm St,D,C,B,31.5,102.1,133.6,1318,0.81,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,1808 Pine St,D,C,D,12.1,31.7,43.8,553,0.95,2025-10-26T17:00:57.477ZZ
90011,Los Angeles,CA,1005 Maple Ave,B,A,B,8.9,34.3,43.2,615,0.89,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,1749 Fulton St,A,D,C,2.5,7.8,10.3,359,0.85,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,5937 Market St,F,A,C,32,121,153,1353,0.94,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,2037 Fulton St,D,B,D,20.4,65.7,86.1,626,0.85,2025-10-26T17:00:57.477ZZ
96813,Honolulu,HI,6096 1st Ave,D,F,B,12.1,40.7,52.8,564,0.9,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,2662 1st Ave,C,B,B,13.1,41.3,54.4,534,0.81,2025-10-26T17:00:57.477ZZ
48201,Detroit,MI,8180 Collins Ave,D,D,C,25.1,79.3,104.4,1095,0.82,2025-10-26T17:00:57.477ZZ
45202,Cincinnati,OH,5777 Elm St,A,B,C,4.1,16.2,20.3,402,0.86,2025-10-26T17:00:57.477ZZ
20001,Washington,DC,5815 Fulton St,D,B,A,16.2,47.1,63.3,614,0.88,2025-10-26T17:00:57.477ZZ
73102,Oklahoma City,OK,1950 Elm St,D,B,C,20.4,75.3,95.7,970,0.91,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,4013 1st Ave,D,C,B,10.9,29.3,40.2,609,0.89,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,7887 Pine St,D,C,D,15,40.1,55.1,549,0.92,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,1234 Elm St,C,F,D,11.4,43.3,54.7,630,0.93,2025-10-26T17:00:57.477ZZ
11201,Brooklyn,NY,4023 Elm St,D,C,D,18.2,61,79.2,876,0.8,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,6466 Maple Ave,C,B,D,18.2,65.5,83.7,908,0.83,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,5451 Main St,B,D,F,9.4,24.8,34.2,441,0.83,2025-10-26T17:00:57.477ZZ
30303,Atlanta,GA,7343 Cedar St,D,D,F,32.2,102.6,134.8,754,0.8,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,7312 Market St,C,F,B,19.6,77.2,96.8,793,0.8,2025-10-26T17:00:57.477ZZ
64106,Kansas City,MO,4902 Elm St,A,B,C,3.8,14.8,18.6,421,0.9,2025-10-26T17:00:57.477ZZ
85001,Phoenix,AZ,7261 Mission St,A,F,C,3.3,11.5,14.8,402,0.94,2025-10-26T17:00:57.477ZZ
02115,Boston,MA,8013 Collins Ave,D,D,C,19.6,51,70.6,803,0.82,2025-10-26T17:00:57.477ZZ
96813,Honolulu,HI,3278 1st Ave,D,F,B,21.5,62.1,83.6,660,0.88,2025-10-26T17:00:57.477ZZ
94102,San Francisco,CA,4957 Washington Ave,F,C,D,20.2,66.9,87.1,958,0.91,2025-10-26T17:00:57.477ZZ
60629,Chicago,IL,3443 Broadway,B,D,D,7.1,22.7,29.8,455,0.8,2025-10-26T17:00:57.477ZZ
90011,Los Angeles,CA,8230 Washington Ave,F,C,B,27.5,90.2,117.7,718,0.84,2025-10-26T17:00:57.477ZZ
10003,New York,NY,993 Mission St,A,F,F,2,5.7,7.7,349,0.88,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,943 Pine St,B,C,C,5.8,15.4,21.2,467,0.95,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,7627 Market St,D,C,B,26.2,97.8,124,710,0.94,2025-10-26T17:00:57.477ZZ
73102,Oklahoma City,OK,8473 Collins Ave,D,D,D,29.6,100,129.6,1265,0.82,2025-10-26T17:00:57.477ZZ
80202,Denver,CO,3237 Broadway,D,B,A,19.5,66.8,86.3,653,0.82,2025-10-26T17:00:57.477ZZ
11211,Brooklyn,NY,9816 Mission St,A,C,F,3.8,12.2,16,385,0.86,2025-10-26T17:00:57.477ZZ
10001,New York,NY,4956 Collins Ave,A,A,C,1.7,6.5,8.2,343,0.85,2025-10-26T17:00:57.477ZZ
77002,Houston,TX,8673 Oak St,C,D,F,12,35.7,47.7,476,0.8,2025-10-26T17:00:57.477ZZ
60601,Chicago,IL,6699 Market St,D,B,C,19.7,76.4,96.1,956,0.83,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,398 Elm St,C,F,C,10,34.8,44.8,520,0.87,2025-10-26T17:00:57.477ZZ
90011,Los Angeles,CA,9581 Main St,D,F,C,31.7,119.5,151.2,836,0.92,2025-10-26T17:00:57.477ZZ
33132,Miami,FL,7035 Main St,D,C,C,20.4,67.6,88,860,0.9,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,1635 Canal St,D,C,C,22.2,64.9,87.1,579,0.88,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,7161 Lexington Ave,F,C,C,46.7,120.3,167,1045,0.85,2025-10-26T17:00:57.477ZZ
60629,Chicago,IL,6798 Fulton St,D,D,B,31.7,117.1,148.8,1053,0.87,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,9992 Cedar St,B,B,B,9.6,37.1,46.7,631,0.87,2025-10-26T17:00:57.477ZZ
10003,New York,NY,7194 1st Ave,F,B,B,45.4,158.4,203.8,1641,0.95,2025-10-26T17:00:57.477ZZ
94103,San Francisco,CA,2630 Fulton St,C,B,C,8.7,26.8,35.5,425,0.89,2025-10-26T17:00:57.477ZZ
94102,San Francisco,CA,6869 Canal St,D,C,F,7.5,25.5,33,540,0.94,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,5873 Market St,C,D,C,9.8,33.6,43.4,531,0.86,2025-10-26T17:00:57.477ZZ
37203,Nashville,TN,4676 Lexington Ave,F,C,A,26.8,96.4,123.2,722,0.93,2025-10-26T17:00:57.477ZZ
10001,New York,NY,7648 Washington Ave,C,C,B,12.6,38,50.6,657,0.81,2025-10-26T17:00:57.477ZZ
33101,Miami,FL,1522 Maple Ave,D,A,A,8.7,24.4,33.1,455,0.81,2025-10-26T17:00:57.477ZZ
11211,Brooklyn,NY,6920 Canal St,C,C,D,6.9,24.5,31.4,435,0.84,2025-10-26T17:00:57.477ZZ
96813,Honolulu,HI,3140 Fulton St,C,D,B,11,27.8,38.8,463,0.89,2025-10-26T17:00:57.477ZZ
96813,Honolulu,HI,2984 Oak St,C,C,A,12.4,35.9,48.3,566,0.94,2025-10-26T17:00:57.477ZZ
75201,Dallas,TX,3553 Main St,D,B,D,17.1,43,60.1,494,0.95,2025-10-26T17:00:57.477ZZ
94103,San Francisco,CA,7519 Elm St,F,D,B,47.7,121.1,168.8,1373,0.94,2025-10-26T17:00:57.477ZZ
85001,Phoenix,AZ,4041 Maple Ave,A,A,C,4.1,12,16.1,351,0.91,2025-10-26T17:00:57.477ZZ
